"latitude","longitude","victim_name","victim_phone"
34.23452,-77.83742,"Ella Tyrrell","(252) 555-6786"
34.23233,-77.84095,"Ryan Morris","(704) 555-5501"
34.06229,-77.90289,"Genesis Coleman","(984) 555-4073"
34.18762,-77.81184,"Easton Rogers","(704) 555-6785"
34.13572,-77.87147,"Valentina Adams","(336) 555-4245"
34.25316,-77.80446,"Xavier Stewart","(704) 555-3727"
34.22693,-77.89243,"Aubrey Tyrrell","(252) 555-9125"
34.21857,-77.84894,"Kennedy Stewart","(252) 555-8466"
34.14455,-77.91779,"Connor Kelly","(828) 555-9813"
34.21358,-77.93645,"Amelia Wilson","(704) 555-4187"
34.22457,-77.92571,"Evelyn Hill","(704) 555-2957"
34.20516,-77.84347,"Dylan Hall","(828) 555-8985"
34.10980,-77.87645,"Lucy Foster","(704) 555-3771"
34.21133,-77.94282,"Natalie Evans","(414) 555-5352"
34.01582,-77.90797,"Jackson Ramirez","(252) 555-7526"
34.15592,-77.89453,"Kayden Anderson","(859) 555-1884"
34.23745,-77.83932,"Nora Collins","(651) 555-8247"
34.09507,-77.92125,"Adrian Shaaf","(651) 555-1660"
34.02437,-77.90470,"Jonathan Martinez","(303) 555-2094"
34.20746,-77.93895,"Dominic Taylor","(984) 555-4550"
34.25440,-77.87513,"Aubrey Tison","(828) 555-1976"
34.20184,-77.82772,"Jayden Hayes","(336) 555-7726"
34.20741,-77.96932,"Caleb Cooper","(252) 555-6348"
34.21604,-77.82034,"Gianna Taylor","(828) 555-3219"
34.19779,-77.96473,"Alexa Rodriguez","(336) 555-2051"
34.18495,-77.86308,"Colton Rodriguez","(859) 555-4559"
34.12904,-77.91462,"Jaxson Bennett","(336) 555-2890"
34.07739,-77.91291,"Allison Jarae","(651) 555-2157"
34.16389,-77.88276,"Anthony Murphy","(651) 555-2196"
34.24546,-77.83765,"Hannah Jenkins","(828) 555-3390"
34.20846,-77.84635,"Dylan Krohg","(651) 555-7714"
34.21390,-77.94548,"Lily Thomas","(252) 555-2271"
34.25211,-77.85417,"Ellie Johnson","(336) 555-5895"
34.09831,-77.90897,"Noah Long","(984) 555-7204"
34.12602,-77.87800,"Genesis Parker","(828) 555-4774"
